"Timestamp","vremePocetkaKoriscenja","kolicinaKoriscenja","potrosnjaVremena","svrhaKoriscenja","drustveneMreze","druzenjeSaPrijateljima","komunikacijaVanGrada"
"2018/05/05 9:19:29 am EET","Pre od 10 godina ili više","4-7 puta nedeljno",0.5,"Osnovni vid komunikacije","Messenger;Viber;Instagram","Većinom","Da"
"2018/05/05 9:53:51 am EET","Pre 4 godine","Svaki dan",8,"Osnovni vid komunikacije","Facebook (ne uključujući Messenger);Messenger;Discord","Većinom","Da"
"2018/05/05 12:36:45 pm EET","Pre 6 godina","Svaki dan",2.5,"Zanimljivo je zbog fičera društvene mreže","Snapchat;Instagram","Većinom","Da"
"2018/05/05 12:49:42 pm EET","Pre 5 godina","Svaki dan",2,"Osnovni vid komunikacije","Messenger;Instagram;Discord","Većinom","Da"
"2018/05/05 1:38:58 pm EET","Pre od 10 godina ili više","Svaki dan",3,"Zanimljivo je zbog fičera društvene mreže","WhatsApp;Snapchat;Instagram","Većinom","Da"
"2018/05/05 1:44:08 pm EET","Pre od 10 godina ili više","Svaki dan",3,"Zanimljivo je zbog fičera društvene mreže","WhatsApp;Snapchat;Instagram","Većinom","Da"
"2018/05/05 2:31:47 pm EET","Pre od 10 godina ili više","4-7 puta nedeljno",0,"Osnovni vid komunikacije","Messenger;Viber;Discord","Većinom","Ne"
"2018/05/05 3:19:12 pm EET","Pre 6 godina","Svaki dan",0.25,"Osnovni vid komunikacije","Facebook (ne uključujući Messenger);Messenger;Instagram","Većinom","Da"
"2018/05/05 3:19:49 pm EET","Pre 6 godina","Svaki dan",0.5,"Osnovni vid druženja","Messenger;Viber;Twitter","Pola pola","Da"
"2018/05/05 4:38:20 pm EET","Pre 5 godina","Svaki dan",3,"Osnovni vid komunikacije","Facebook (ne uključujući Messenger);Messenger;Instagram","Većinom","Da"
"2018/05/06 5:17:05 pm EET","Pre 9 godina","Par puta mesečno",1,"Zanimljivo je zbog fičera društvene mreže","Messenger","Manjinom","Da"
"2018/05/06 7:54:07 pm EET","Pre od 10 godina ili više","Svaki dan",1.33,"Osnovni vid komunikacije","Facebook (ne uključujući Messenger);Messenger;Viber","Većinom","Da"
"2018/05/06 10:46:23 pm EET","Pre 7 godina","Svaki dan",1,"Jedini vid komunikacije","Tumbler;Pinterest;Discord","Manjinom","Da"
"2018/05/07 10:46:56 am EET","Pre 5 godina","Svaki dan",1,"Osnovni vid komunikacije","Messenger;Instagram;Discord","Većinom","Da"
"2018/05/07 10:48:07 am EET","Pre 5 godina","Svaki dan",2,"Zanimljivo je zbog fičera društvene mreže","Facebook (ne uključujući Messenger);Messenger;Instagram","Većinom","Da"
"2018/05/07 3:20:19 pm EET","Pre 7 godina","Svaki dan",1,"Osnovni vid komunikacije","Facebook (ne uključujući Messenger);Instagram;Twitter","Većinom","Da"